round,client_id,num_examples
1,3332216301229147477,64
2,3332216301229147477,64
3,3332216301229147477,64
4,3332216301229147477,64
5,3332216301229147477,64
1,11794387608272459945,64
2,11794387608272459945,64
3,11794387608272459945,64
1,2415878074479712230,64
2,2415878074479712230,64
3,2415878074479712230,64
1,14316194759587941756,64
2,14316194759587941756,64
3,14316194759587941756,64
